Group,Theme ID,Theme Name,Tier,Character,Real-world identity,Ring Color
World Cup,superstars,Superstars,1,El Joven,Iniesta (young),#AA151B
World Cup,superstars,Superstars,2,El Mago,Iniesta,#004D98
World Cup,superstars,Superstars,3,O Samba,Ronaldinho,#009B3A
World Cup,superstars,Superstars,4,La Flèche,Thierry Henry,#002654
World Cup,superstars,Superstars,5,Die Mauer,Franz Beckenbauer ?,#000000
World Cup,superstars,Superstars,6,O Artista,Zico ?,#FFDF00
World Cup,superstars,Superstars,7,El Peludo,Carlos Valderrama,#FCD116
World Cup,superstars,Superstars,8,O Bruxo,Ronaldinho,#009B3A
World Cup,superstars,Superstars,9,Le Maestro,Zinedine Zidane,#002654
World Cup,superstars,Superstars,10,El Pibe,Diego Maradona (young),#75AADB
World Cup,superstars,Superstars,11,O Fenômeno,Ronaldo (R9),#006C35
World Cup,superstars,Superstars,12,La Pulga,Lionel Messi,#FFD700
World Cup,bra,Brazil,1,O Menino,Neymar ?,#009B3A
World Cup,bra,Brazil,2,O Maestro,Zico,#FFDF00
World Cup,bra,Brazil,3,O Capitão,Cafu ?,#009B3A
World Cup,bra,Brazil,4,O Guerreiro,Romário ?,#FFDF00
World Cup,bra,Brazil,5,O Mágico,Romário,#009B3A
World Cup,bra,Brazil,6,O Relâmpago,Roberto Carlos ?,#FFDF00
World Cup,bra,Brazil,7,O Pêndulo,Rivelino ?,#009B3A
World Cup,bra,Brazil,8,Alegria do Povo,Garrincha,#FFDF00
World Cup,bra,Brazil,9,O Míssil,Rivaldo ?,#009B3A
World Cup,bra,Brazil,10,O Bruxo,Ronaldinho,#FFDF00
World Cup,bra,Brazil,11,O Fenômeno,Ronaldo (R9),#009B3A
World Cup,bra,Brazil,12,O Rei,Pelé,#FFD700
World Cup,arg,Argentina,1,El Araña,Sergio Romero ?,#75AADB
World Cup,arg,Argentina,2,El Toro,Lautaro Martínez,#43A5C8
World Cup,arg,Argentina,3,El Dibu,Emiliano Martínez,#75AADB
World Cup,arg,Argentina,4,La Joya,Paulo Dybala,#43A5C8
World Cup,arg,Argentina,5,El Ángel,Ángel Di María,#75AADB
World Cup,arg,Argentina,6,El Matador,Gabriel Batistuta,#43A5C8
World Cup,arg,Argentina,7,El Burrito,Ariel Ortega,#75AADB
World Cup,arg,Argentina,8,El Caudillo,Javier Mascherano ?,#43A5C8
World Cup,arg,Argentina,9,El Flaco,Mario Kempes ?,#75AADB
World Cup,arg,Argentina,10,El Loco,Hugo Gatti ?,#43A5C8
World Cup,arg,Argentina,11,El Diego,Diego Maradona,#75AADB
World Cup,arg,Argentina,12,La Pulga,Lionel Messi,#FFD700
World Cup,esp,Spain,1,El Joven,Iker Casillas (young) ?,#AA151B
World Cup,esp,Spain,2,El Mago,Andrés Iniesta,#F1BF00
World Cup,esp,Spain,3,El Cerebro,Xavi Hernández,#AA151B
World Cup,esp,Spain,4,El Tanque,Fernando Llorente ?,#F1BF00
World Cup,esp,Spain,5,El Ilusionista,Andrés Iniesta ?,#AA151B
World Cup,esp,Spain,6,El Arquitecto,Xavi Hernández ?,#F1BF00
World Cup,esp,Spain,7,El Niño,Fernando Torres,#AA151B
World Cup,esp,Spain,8,San Iker,Iker Casillas,#F1BF00
World Cup,esp,Spain,9,El Muro,Sergio Ramos ?,#AA151B
World Cup,esp,Spain,10,La Saeta,Raúl González ?,#F1BF00
World Cup,esp,Spain,11,El Zorro,Raúl González ?,#AA151B
World Cup,esp,Spain,12,El Sabio,Andrés Iniesta ?,#FFD700
World Cup,fra,France,1,Le Petit,Kylian Mbappé (young) ?,#002654
World Cup,fra,France,2,Le Démolisseur,Patrick Vieira ?,#ED2939
World Cup,fra,France,3,Le Patron,Didier Deschamps ?,#002654
World Cup,fra,France,4,La Flèche,Thierry Henry,#ED2939
World Cup,fra,France,5,Le Mur,Laurent Blanc ?,#002654
World Cup,fra,France,6,Le Président,Michel Platini ?,#ED2939
World Cup,fra,France,7,Le Roi,Michel Platini,#002654
World Cup,fra,France,8,Le Maestro,Zinedine Zidane,#ED2939
World Cup,fra,France,9,Le Magicien,Zinedine Zidane ?,#002654
World Cup,fra,France,10,Le Génie,Kylian Mbappé,#ED2939
World Cup,fra,France,11,La Tornade,Kylian Mbappé ?,#002654
World Cup,fra,France,12,L'Empereur,Zinedine Zidane,#FFD700
World Cup,ger,Germany,1,Der Junge,Jamal Musiala (young) ?,#DD0000
